,HTLC,FEE_BASE,FEE_RATE
02d3260badc50f88ee1860583d1ef23b9565ef9a0d11e2b808432001b291562e93,['1000'],['1000'],['1']
02958f7f3c830973fee18e820b225706759fd2486c6f142f160e58d15d575b48be,['1000'],['1000'],['1']
03ed9ab9f1cc227fae25e6bc2ad6c59627aef87cd45cf02961f3dc31a24060d6aa,['1000'],['1000'],['1']
02dd306e68c46681aa21d88a436fb35355a8579dd30201581cefa17cb179fc4c15,['1000'],['1000'],['1']
029279834c6175b214ce361389edc266d066e0d30214399b31af286739abdfda91,['1000'],['1000'],['1']
03bf4a76335dab8ce9fbde246e6c958abfd8006f1b87d11fd1896aa99d6f3925fa,['1000'],['1000'],['1']
03d85df94810002c2c9b69d9e450c7d106f9156ed9239e70dbb2adb97dacab3e1d,"['1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000']","['1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
03bef00428475299f7bc509d2eb86143cef43af5f1d1f43f3e6ea4d319d1e53714,"['1000', '1000']","['1000', '1000']","['1', '1']"
024def9245fd940d4a340b9d1b764a0c1eb69bbb1b3f7d3f57e3bad7cfb6a86d25,['1000'],['1000'],['1']
02b55e635cdc79da0929e29790df209e7fbd2cf72b139b85c9a58595a16b2f99d8,['1000'],['1000'],['1']
03a81a33ff5c481553fb70106d7544110bbe991b1c359aaa24bffc2ee0cbd4a756,['1000'],['1000'],['1']
02713c804d8d3ff6f1abaa28974518b09457dbfcf474952e983aa61b406fdb9545,['1000'],['1000'],['1']
031b03a494fafc66bae8065636739aeeab7111e38e4de36f98820decf491c064cd,"['1000', '1000']","['1000', '1000']","['1', '1']"
029cbc3c217171bf3f50dd99b73af1c464dff798388a0d63daed275d21ff1ececb,['1000'],['1000'],['1']
02fe158eab31e2b84177fb378f2e07515e16856d179bacf746fa2bfd13ab1ab015,"['1000', '1000', '1000']","['1000', '1000', '1000']","['1', '1', '1']"
035b0f40607435954609a7b0714e1eb667b5ef7910d209f3da8f68c3e0a03f24b5,['1000'],['1000'],['1']
031705f97de50270803903d33cfa86301b994cce4f8eedcf9dc6dc9cad67e88e31,['1000'],['1000'],['1']
03ede1b813d5d9338e05597fb59d93c499cdd7e9a6f7cea28922401ab7a745d6c9,['1000'],['1000'],['1']
03606e49d6a2659c5d559bf8c700a34d452d91ca5cbea1933c760ba4ad25d7e29b,['1000'],['1000'],['1']
0244aa744607d5241f9a47780061c1f4db508a7a58459537f916d782bbf64a48c2,['1000'],['1000'],['1']
02b3678007398b037616ae420005bede6f0603079e932e90df327ff6e868284e53,['1000'],['1000'],['1']
031dc598ae1842b46bc58c3fe510d65a1da59b49294669628e81d9ef6544995c4f,['1000'],['1000'],['1']
029d6e91c0d643dedf29353ed961059e815520d5bce80302dff67026dd36a04913,['1000'],['1000'],['1']
039199b7b5146fa2b0bd00a4c97ccbc4950c079ad5f9f982a8b8f2d8e00c828cd9,['1'],['1000'],['10']
0370ab0b96d877cb9612413a30a30dc6a28df02fe17457b7fa9406870a47af1652,"['1000', '1000']","['1000', '0']","['1', '1']"
0376a1a7e2656b5836a04012aab53f13e241eea27841a74188039d5665df61cac8,"['1000', '1000']","['1000', '1000']","['1', '1']"
03da5e26d76534bc012ec44326edcfaaeb61df147fd8708936df647ad1727e9826,"['1000', '1000', '1000', '1000', '1000', '1000', '1000']","['1000', '1000', '1000', '1000', '1000', '1000', '1000']","['1', '1', '1', '1', '1', '1', '1']"
03b736579f33419c9cea1e98e3417db8ce6900b0b8395f656f48dd564987646397,['1000'],['1000'],['1']
037bbc5b5bf89ecd5e1cd70f63378bf7fa62763ae06f07cb0600d5f5af95bcddda,['1000'],['1000'],['1']
02c7acd4a0d129342e3e7332ac5147d47f16fce8b76dea76918265eba7764904b0,['1000'],['1000'],['1']
03d8689ad07363524d4013d5fd4b0c0af1b212f65495be51fb43ef1b42404b5de4,"['1000', '1000']","['1000', '1000']","['1', '1']"
0297fc579bb3476cf486cc39de0bf8478e4c04f16a8954d57bcc442ac505e5c9ff,['1000'],['1000'],['1']
03699b230588b5f6f16d87cace0a4f7974783c1f2e0e382ca6de21dee80d3f85bd,['1000'],['1000'],['1']
0331873e3a70302a9b44e1d1d0a421c710183d3fd7a367b5ec79a15ac3313225a1,['1000'],['1000'],['1']
03b2fce3945e92727c509d10762941e127dc216e28b884bf03f6a0f140a3fe6654,['1000'],['1000'],['1']
02eaa3e7036ca1c91f36b76436a80ba064a3c3e3b43ef173f5185a4c3439f44e4c,['1000'],['1000'],['1']
02f14434f8c7cdd7bf0e895aed23b2eb98818e992d8aca87e1e5835e89073266d8,['1000'],['1000'],['1']
03528e9a0e5059f88c764599aae471a1fed9f8df83e476c282428e6f026a0a19c7,['1000'],['1000'],['1']
02f1028a0cefe6e2ca0f924d4a8274aa0d671cdf3f0fc1e96f57a20a3279b3b70c,['1000'],['1000'],['1']
03c7212c12168cc01dcb5302a2b597e33e14824495db8b04e5700cc0dee6218f74,['1000'],['1000'],['1']
02bd8bb9503b9dfaee9b32d3546548d7dc18682d53bdb9fb1b1a7074bec114202e,['1'],['1000'],['10']
039c46a40d43b6806918627ef613b7a5ff218736bfa1bfcac8bdb65f4e442ea6cb,"['1000', '1000']","['1000', '1000']","['25', '500']"
03e2c146b1726813b5f44069498a44dd17a390cf49458cf419249668f21c0e43aa,"['1000', '1000']","['1000', '1000']","['1', '1']"
0268e814a75eaeb7eb461b3ad34c445e1da99fa80874781f865fb75fe823966bd2,['1000'],['1000'],['1']
03a3fec36444c97d833cd8482808e67c44dcd10fa577da3e8ec91ae9f088c58150,['10000'],['1000'],['1']
037cc5f9f1da20ac0d60e83989729a204a33cc2d8e80438969fadf35c1c5f1233b,"['1000', '1000', '1000', '1000', '1000', '1000', '1000']","['100000', '100000', '100000', '10000', '10000', '10000', '10000']","['1000', '10000', '10000', '1000', '1000', '1000', '1000']"
03ae19306a1751b8bd6a00a2f9f7f22ba83ed68e80d52a72116e30390eaee290d7,['1000'],['1000'],['1']
03cf99d284674ea9d07235a6fd519ee25fca15247046318d94ad82ccacb7b856d8,"['1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
03a4761d927ee15cbe64e11b92d9d68d06d8eab502166a80a3ab2e3bc78b4c9eed,['1'],['1000'],['10']
02d8bc21b7cd0dbc0f32f7aaad8e87fd5cefe04324a9b4cdcbfecb646e20a4e218,['1000'],['1000'],['1']
03a9a8d953fe747d0dd94dd3c567ddc58451101e987e2d2bf7a4d1e10a2c89ff38,['1000'],['0'],['1']
03d50989c2a872befc94a9052b6e3438c1da7605bd9046c98636d9f0f2da6a5a5c,"['1000', '1000', '1000']","['1000', '1000', '1000']","['1', '1', '1']"
031f1e58e236e9618d9e23806dac19eaa2cab203424b49f5548428493c9aeaa54b,['1000'],['1000'],['1']
038a099920d3c328d547975f2a6ea24e4724f920c65082c005d13cf5b47b9ebd4e,['1000'],['1000'],['1']
0365dc280825324f35d0efde56c7259cb69e95ec28ddd6ec1f915323dd89de9b57,"['1000', '1000']","['1000', '1000']","['1', '1']"
02ced8314568af14bfa836908f8b6e86bae23ca6a1a3ad65c4be6367a03a235a87,['1000'],['1000'],['1']
03332754597e596bbc9cebfcf86852e92df366335956009dcd6dac3d9d139e09ed,['1000'],['1000'],['1']
031fd9072b7ae11070c259d472be132b0c2da7b65964af7bc1ae245678b2f74f19,['1000'],['1000'],['1']
036a073aa4725e465fb129a2c872a5e41cd077537c46dd1dcac6a4e5e202fda25f,"['1000', '1000', '1000']","['1000', '1000', '1000']","['1', '1', '1']"
039f96b5dc60b60596dafc870ae104beb6cfaa40aa718b3e9dab9db6b1e52ed3b8,['1'],['1000'],['1']
03ef1d515e8d39418c8be3ce10b06671fa98a94fc7154f9ab7e2c8148c375a1eae,"['1000', '1000', '1000', '1000']","['1000', '1000', '1000', '1000']","['1', '1', '1', '1']"
02f0940b4cf46257c33017550216dccc2db841ce86531cacd3d0e9f75abcabe7f9,['1000'],['1000'],['1']
031d172aa95ad48a3103d09a9737b591d4af4912fc8952ba9329e739152560bf96,['1000'],['1000'],['1']
03400893e0c615e66178ba9425ca2eb564e733e76c63da59e1d8d68a3316932511,['1000'],['1000'],['1']
03ad70bdd75e7f6d3655821562e7e44ff5422bca8fb91bc708d9a16e4173f75f0e,['1000'],['1000'],['1']
036baa28241725287e7ed9045b58c17cea32a7b600d6efefc1c812439d7b418e6d,['1000'],['1000'],['1']
02c5262861f27fe43dfdc5280584b511ddea3e4fe621f8e91dcfcf3c500c983155,['1000'],['1000'],['1']
0327b403a971094982234f4fd7eb32f55b78dc25d05816aded19c8c0a9853e0fcf,['1000'],['1000'],['1']
03c02f154a343574e401cec85edfdb8480f9a864264a0c1b17b87298f69b20353a,['1000'],['1000'],['1']
02ea8c67514c717bcaa9c83e320d8cac1c0c0b7ebde563cbd0b16014a60670af91,['1000'],['1000'],['1']
03c3e77a719c78f8a8e2b45a8559ffdb83b4906088744be7e13dd156b0dfce6d9f,['1000'],['1000'],['1']
034f1ec90e841677f8463600c5468f4e0409ae7d04b24885eb6f01912b85e295c3,['1'],['1000'],['10']
03118f140a27befc92ec1a4a42403c84c12e238d761c4c5f8f40544d41736c2054,['1000'],['1000'],['1']
02aa4f670c4d8194a12feaec37abbc96db9b0febe9ecfc2755577d0a068e9403ba,['1000'],['1000'],['1']
0353e72381c0b46e9956b83e6d0348a36b4bd81a2dcb6e9f06e7d71810c729a73d,['1000'],['1000'],['1']
03d2c3fad8008bcf0dc36c4bb2d23d01888c0f6fc24e9a45ca641e118a24aa940a,['1000'],['1000'],['1']
0265446bc23a2aa0fc2929ba81277e00ae97f4d4a8131a3cf91a647df3ec52f236,['1000'],['1000'],['1']
034af4ed66b26e7495ece49874249ee810c9560942535a847ab92db4b7196abc0a,"['1000', '1000']","['1000', '1000']","['1', '1']"
03f1d97ea8772c477f9cbe06a1c58220255311da7d9d3ae51df661cb3379c40987,['1000'],['1000'],['1']
03c036927a774111da772cc3fde4c445294c4fd9474cbf92ab64278b3962bc856a,"['1000', '1000']","['1000', '1000']","['1', '1']"
0397912455b6ba3e4b532e2230ec9bf358c0696f8d6d86068ff92e2b9948e604e8,['1000'],['1000'],['1']
03991281a7037b79fe8cff194a2a6a54d5ff3f04b8fb539d34aad974317b2d26b5,['1000'],['1000'],['1']
0289a680fd1e69590c5a06ed124781df350eeee1e512311a9d373db3b8ba92a3cb,['1000'],['1000'],['1']
025ee480093b1d09487156a5cd6a5b04d7c8dcf6c79b5a8a8bfd30d2b8034186da,['1000'],['1000'],['1']
0260a7b4f4ab03c4e9d86c3a0f54b16d74322f21720b5c6db1c4035dd3dddc6206,['1000'],['1000'],['1']
0274aaf9d7621a854707f82eb4863f13ba7612f6613571bd9bbc0153e71cb7a107,['1000'],['1000'],['1']
02518c70a143ae309da0b0e79632443b744a3c891cfb25f1f355da6e692690909d,['1000'],['1000'],['1']
02908c9c0513fadc1f0ad183edfde2fbcf4f73868904954929ac61851f0d049b8c,['1000'],['1000'],['1']
0240a78c3462ff83da2eb38ce309e9884f9f39d8b3d3334709ba4495c6f1ec05d2,['1000'],['1000'],['1']
02fa25b388654bb310a36fb1d029bd748610faa73ad00a5d65e03ec6ce302afe6a,"['1', '1', '1']","['1000', '1000', '1000']","['100', '100', '100']"
0259b579f5a3069b7e69739d046485a4b9d9cc6d1975f7642b7dd8ed6858d758c6,['1000'],['1000'],['1']
03b04a1fa025bb26f3e6f148fbe42000d8296d8991c37605270290439ad1c28bc2,['1000'],['1000'],['1']
0366d84927f2e1cc5d7c6f95e56af8be75dfca6213ae1296ff878f69e8c30648c2,['1000'],['1000'],['1']
03789e3087822b0e5d94c6e5f452131a174d4da580c6a355d9434be6e8f7469438,['1000'],['1000'],['1']
03e30da473716d39c09356d5372cf839d8ee3a1cdbd993ee853c23ab9bdfbce6f8,"['1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000']","['1000', '1', '0', '1', '1', '1', '1', '1', '1', '0', '0', '1000', '1', '1', '1', '1', '1', '1', '1', '0']","['800', '8', '0', '5', '8', '8', '3', '5', '8', '0', '0', '800', '5', '1', '1', '1', '1', '1', '1', '0']"
03e6b8966a2e000f1cfadfb547bcfdb71d9779bc20606ced38a1045654eb6f58ef,['1000'],['1000'],['1']
037f21884fb41fc6568333b820c1b488e52fa961e9e76905efbdaf710c0d1a96ef,['1000'],['1000'],['1000']
03fa3be3b4528c1d588e60060d7f10e37c38f5aa02f867632a5c7b816cf5afa775,"['1000', '1000', '1000']","['1000', '1000', '1000']","['1', '1', '1']"
03af75f9b0ddebbd49f660335060a7db4522353ede6284868d76dc78d200d0749b,['1000'],['1000'],['1']
